DUMMY_TO_DELETE,MONTH,WEEKDAY, HR ,PH
15,1,2,15,8871
15,1,2,16,8696
15,1,2,17,8606
15,1,2,18,8815
15,1,2,19,9149
15,1,2,20,8754
15,1,2,21,8275
15,1,2,22,7660
15,1,2,23,6953
15,1,2,24,6539
15,1,3,1,6219
15,1,3,2,5987
15,1,3,3,5850
15,1,3,4,5810
15,1,3,5,6109
15,1,3,6,6502
15,1,3,7,6462
15,1,3,8,7155
15,1,3,9,8114
15,1,3,10,8713
15,1,3,11,9104
15,1,3,12,8811
15,1,3,13,8731
15,1,3,14,8965
15,1,3,15,8804
15,1,3,16,8726
15,1,3,17,8379
15,1,3,18,8561
15,1,3,19,8845
15,1,3,20,8502
15,1,3,21,8029
15,1,3,22,7408
15,1,3,23,6713
15,1,3,24,6241
15,1,4,1,5973
15,1,4,2,5815
15,1,4,3,5728
15,1,4,4,5730
15,1,4,5,6030
15,1,4,6,6439
15,1,4,7,6434
15,1,4,8,7024
15,1,4,9,7946
15,1,4,10,8597
15,1,4,11,9026
15,1,4,12,8753
15,1,4,13,8668
15,1,4,14,8954
15,1,4,15,8833
15,1,4,16,8805
15,1,4,17,8439
15,1,4,18,8751
15,1,4,19,9034
15,1,4,20,8778
15,1,4,21,8434
15,1,4,22,7771
15,1,4,23,7087
15,1,4,24,6659
15,2,5,1,6316
15,2,5,2,6105
15,2,5,3,5934
15,2,5,4,5942
15,2,5,5,6173
15,2,5,6,6603
15,2,5,7,6511
15,2,5,8,7276
15,2,5,9,8305
15,2,5,10,8978
15,2,5,11,9391
15,2,5,12,9200
15,2,5,13,9198
15,2,5,14,9510
15,2,5,15,9391
15,2,5,16,9292
15,2,5,17,8832
15,2,5,18,8929
15,2,5,19,9275
15,2,5,20,9008
15,2,5,21,8696
15,2,5,22,8060
15,2,5,23,7586
15,2,5,24,6990
15,2,6,1,6661
15,2,6,2,6454
15,2,6,3,6256
15,2,6,4,6182
15,2,6,5,6229
15,2,6,6,6410
15,2,6,7,6417
15,2,6,8,6951
15,2,6,9,7741
15,2,6,10,8354
15,2,6,11,8694
15,2,6,12,8517
15,2,6,13,8376
15,2,6,14,8484
15,2,6,15,8284
15,2,6,16,8074
15,2,6,17,7775
15,2,6,18,8170
15,2,6,19,8774
15,2,6,20,8527
15,2,6,21,8291
15,2,6,22,7808
15,2,6,23,7216
15,2,6,24,6751
15,2,7,1,6483
15,2,7,2,6228
15,2,7,3,6025
15,2,7,4,5924
15,2,7,5,5918
15,2,7,6,5959
15,2,7,7,5871
15,2,7,8,6109
15,2,7,9,6519
15,2,7,10,7105
15,2,7,11,7402
15,2,7,12,7394
15,2,7,13,7408
15,2,7,14,7407
15,2,7,15,7280
15,2,7,16,7066
15,2,7,17,6979
15,2,7,18,7569
15,2,7,19,8258
15,2,7,20,8145
15,2,7,21,7827
15,2,7,22,7230
15,2,7,23,6802
15,2,7,24,6289
15,2,1,1,5972
15,2,1,2,5684
15,2,1,3,5612
15,2,1,4,5542
15,2,1,5,5819
15,2,1,6,6272
15,2,1,7,6315
15,2,1,8,7086
15,2,1,9,8264
15,2,1,10,9008
15,2,1,11,9363
15,2,1,12,9255
15,2,1,13,9166
15,2,1,14,9476
15,2,1,15,9376
15,2,1,16,9254
15,2,1,17,8796
15,2,1,18,8878
15,2,1,19,9312
15,2,1,20,8972
15,2,1,21,8621
15,2,1,22,8097
15,2,1,23,7379
15,2,1,24,6813
15,2,2,1,6457
15,2,2,2,6324
15,2,2,3,6093
15,2,2,4,6089
15,2,2,5,6339
15,2,2,6,6644
15,2,2,7,6564
15,2,2,8,7375
15,2,2,9,8423
15,2,2,10,9080
15,2,2,11,9377
15,2,2,12,9185
15,2,2,13,9166
15,2,2,14,9519
15,2,2,15,9422
15,2,2,16,9327
15,2,2,17,8864
15,2,2,18,8889
15,2,2,19,9416
15,2,2,20,9013
15,2,2,21,8694
15,2,2,22,8115
15,2,2,23,7459
15,2,2,24,6800
15,2,3,1,6473
15,2,3,2,6290
15,2,3,3,6099
15,2,3,4,6064
15,2,3,5,6338
15,2,3,6,6713
15,2,3,7,6600
15,2,3,8,7367
15,2,3,9,8385
15,2,3,10,9082
15,2,3,11,9435
15,2,3,12,9225
15,2,3,13,9174
15,2,3,14,9577
15,2,3,15,9457
15,2,3,16,9284
15,2,3,17,8944
15,2,3,18,9008
15,2,3,19,9486
15,2,3,20,9138
15,2,3,21,8808
15,2,3,22,8281
15,2,3,23,7460
15,2,3,24,6896
15,2,4,1,6593
15,2,4,2,6436
15,2,4,3,6274
15,2,4,4,6225
15,2,4,5,6468
15,2,4,6,6808
15,2,4,7,6719
15,2,4,8,7458
15,2,4,9,8566
15,2,4,10,9218
15,2,4,11,9588
15,2,4,12,9330
15,2,4,13,9321
15,2,4,14,9714
15,2,4,15,9564
15,2,4,16,9369
15,2,4,17,8998
15,2,4,18,9187
15,2,4,19,9521
15,2,4,20,9176
15,2,4,21,8906
15,2,4,22,8323
15,2,4,23,7612
15,2,4,24,7004
15,2,5,1,6667
15,2,5,2,6492
15,2,5,3,6335
15,2,5,4,6260
15,2,5,5,6453
15,2,5,6,6775
15,2,5,7,6654
15,2,5,8,7407
15,2,5,9,8504
15,2,5,10,9301
15,2,5,11,9647
15,2,5,12,9423
15,2,5,13,9392
15,2,5,14,9778
15,2,5,15,9568
15,2,5,16,9519
15,2,5,17,8987
15,2,5,18,9070
15,2,5,19,9544
15,2,5,20,9247
15,2,5,21,8959
15,2,5,22,8396
15,2,5,23,7726
15,2,5,24,7154
15,2,6,1,6723
15,2,6,2,6519
15,2,6,3,6322
15,2,6,4,6227
15,2,6,5,6268
15,2,6,6,6404
15,2,6,7,6407
15,2,6,8,6944
15,2,6,9,7681
15,2,6,10,8381
15,2,6,11,8677
15,2,6,12,8523
15,2,6,13,8376
15,2,6,14,8549
15,2,6,15,8353
15,2,6,16,8134
15,2,6,17,7905
15,2,6,18,8259
15,2,6,19,8800
15,2,6,20,8580
15,2,6,21,8319
15,2,6,22,7751
15,2,6,23,7283
15,2,6,24,6812
15,2,7,1,6399
15,2,7,2,6196
15,2,7,3,6005
15,2,7,4,5876
15,2,7,5,5789
15,2,7,6,5833
15,2,7,7,5687
15,2,7,8,6045
15,2,7,9,6529
15,2,7,10,7084
15,2,7,11,7442
15,2,7,12,7403
15,2,7,13,7423
15,2,7,14,7532
15,2,7,15,7471
15,2,7,16,7249
15,2,7,17,7063
15,2,7,18,7596
15,2,7,19,8370
15,2,7,20,8260
15,2,7,21,7912
15,2,7,22,7382
15,2,7,23,6893
15,2,7,24,6413
15,2,1,1,6002
15,2,1,2,5809
15,2,1,3,5645
15,2,1,4,5555
15,2,1,5,5802
15,2,1,6,6265
15,2,1,7,6310
15,2,1,8,7107
15,2,1,9,8254
15,2,1,10,8911
15,2,1,11,9330
15,2,1,12,9184
15,2,1,13,9122
15,2,1,14,9424
15,2,1,15,9286
15,2,1,16,9153
15,2,1,17,8848
15,2,1,18,8812
15,2,1,19,9280
15,2,1,20,9032
15,2,1,21,8701
15,2,1,22,8086
15,2,1,23,7395
15,2,1,24,6863
15,2,2,1,6626
15,2,2,2,6462
15,2,2,3,6192
15,2,2,4,6169
